In,Out,Weight
766264,5324369,1
4759138,128662,1
4882906,4555964,1
4882906,5307288,1
4882906,2032219,1
3301076,748858,1
3360428,2050780,1
5457474,5892303,1
6003628,371184,1
6003628,1288633,1
5245210,4099541,1
1944403,1209018,1
1944403,5925338,1
3757782,3757782,1
3111608,1209018,1
3111608,4050852,1
5498012,5931145,1
663447,741871,1
663447,1491895,1
663447,157328,1
6003642,697856,1
1964141,2801559,1
984444,984444,1
3942974,1467321,1
4703789,1724434,1
419425,5959673,1
2770024,557019,1
5815199,3669698,1
3271856,4281779,1
847202,5799132,1
847202,1208859,1
6003498,128511,1
4234114,3832430,1
4234114,4234114,1
3383116,227299,1
3383116,4973658,1
3383116,22656,1
6002367,5553633,1
6002367,2247494,1
5857159,2618971,1
5302082,5713935,1
5302082,6001067,1
5302082,2093161,1
5302082,5969604,1
5302082,3447918,1
4396851,1209018,1
195965,217408,1
1751287,1746830,1
1751287,1209018,1
1751287,3037257,1
1751287,5349021,1
1751287,5969009,1
1751287,82548,1
1751287,6001963,1
6001083,2801559,1
6002037,4923889,1
6002037,1792391,1
6002037,1901857,1
6002037,1554165,1
6002037,1447675,1
6002037,3930193,1
2019967,2019967,1
2182080,266795,1
2182080,367927,2
2182080,1063819,1
5105872,551436,1
5105872,3385238,1
5105872,5436541,1
1841543,2996538,1
1841543,616443,1
1841543,4055982,1
1841543,5630685,1
1841543,3880585,1
2409690,3385238,1
5440162,4830995,1
3471882,4281779,1
3471882,2417031,1
3471882,5867516,1
2651545,5704226,1
1420197,1420197,1
4258642,2302862,1
2385206,1175966,1
1788736,4278933,1
1788736,2106563,1
3033194,2294168,1
4333793,1818555,1
4333793,771848,1
5970552,1175966,1
5285062,1297749,1
5285062,12772,1
5285062,4111931,1
1914034,34397,1
1914034,371184,1
903885,128662,1
5899651,3997554,1
5899651,4973658,1
5899651,485911,1
3081958,16363,1
3941043,5651109,1
1738738,123422,1
2527816,1143649,1
2527816,288906,1
1005607,1431042,1
1005607,1728704,1
5869687,1209018,1
5869687,2827823,1
6003224,4111931,1
795398,188453,1
5997531,1209018,1
5798559,4281779,1
5361321,3509874,1
5068969,5852567,1
5796798,5969604,1
5996359,5850955,2
5084891,5989547,1
4984301,210785,1
3221132,3997554,1
4864334,519413,1
4396293,947225,2
6003078,5690703,1
275859,4238891,1
275859,3396030,1
1087910,1087910,1
1374578,1008741,1
2559027,3420271,1
208272,208272,1
939352,939352,1
4826740,1157106,1
5910014,3589092,1
5809920,1865844,1
5528600,5528600,1
2184024,2184024,1
2184024,3846121,1
5962116,14104,1
5962116,2827823,1
1759974,706532,1
5648037,5678086,1
5648037,1387157,1
5648037,4780833,1
1770717,1770717,1
6001563,3624340,1
6001563,5887372,1
6001563,2496702,1
6001563,1979465,1
6001563,5993582,1
6003007,5909155,1
5633284,5995646,1
386213,1816580,1
4033656,1157106,1
4033656,2749581,1
6003176,5159481,1
6001870,4099454,1
758323,2134604,1
758323,1451635,1
5872239,5108418,1
4607153,5935618,1
2491541,3832970,1
5369698,5219763,1
5111391,1209018,1
2181108,519413,1
2181108,5786218,1
4869491,5832547,1
760180,4380481,1
