Node,In_weight,Out_weight
1901857,2,0
2019967,1,1
2182080,0,4
1063819,1,0
5105872,0,3
5436541,1,0
1841543,0,5
2996538,4,0
616443,2,0
5630685,1,0
3880585,1,0
2409690,0,1
5440162,0,1
4830995,1,0
3471882,0,3
5867516,1,0
2651545,0,1
5704226,1,0
1420197,1,1
4258642,0,1
2302862,1,0
2385206,0,1
1788736,0,2
2106563,1,0
3033194,0,1
2294168,1,0
4333793,0,2
1818555,1,0
5285062,0,3
1297749,1,0
12772,2,0
1914034,0,2
34397,2,0
903885,0,2
5899651,0,3
485911,1,0
3081958,0,1
3941043,0,2
5651109,2,0
1738738,0,1
123422,1,0
2527816,0,2
1143649,1,0
288906,1,0
1431042,2,0
6003224,0,1
795398,0,1
188453,1,0
5997531,0,1
5798559,0,1
5361321,0,3
3509874,1,0
5068969,0,1
5796798,0,1
5996359,0,2
5084891,0,1
5989547,6,1
4984301,0,1
210785,1,0
3221132,0,1
519413,6,0
4396293,0,2
947225,2,0
6003078,0,1
5690703,1,0
275859,0,2
4238891,1,0
3396030,6,0
1087910,1,1
1374578,0,1
1008741,2,0
2559027,0,1
3420271,2,0
208272,1,1
939352,1,1
4826740,0,1
1157106,2,0
5910014,0,1
3589092,1,0
5809920,0,1
1865844,5,0
5528600,1,1
2184024,1,2
3846121,3,2
5962116,0,2
1759974,0,1
706532,11,0
5648037,0,3
1387157,1,0
4780833,4,0
1770717,1,1
6001563,0,5
3624340,1,0
5887372,1,0
2496702,1,0
1979465,2,0
5993582,1,0
6003007,0,1
5909155,2,0
5633284,0,4
5995646,1,0
386213,0,1
1816580,1,0
4033656,0,2
6003176,0,1
5159481,2,0
6001870,0,1
758323,0,2
2134604,1,0
1451635,2,0
5872239,0,1
5108418,3,0
4607153,1,1
2491541,0,1
5369698,0,1
5219763,1,0
5111391,0,1
2181108,0,2
5786218,2,0
4869491,0,3
5832547,2,0
760180,0,2
4380481,3,0
1226748,0,2
5848638,2,0
4542111,0,1
392591,0,2
182668,2,0
2633577,0,2
2553506,1,0
5918536,1,0
838912,0,1
3003810,0,1
4850895,1,1
590572,0,1
3633742,1,0
28875,0,1
3914072,1,0
5686131,0,1
479654,1,0
5373368,0,1
5444625,8,0
4933483,0,1
5019163,1,0
1469799,0,1
279326,0,1
5044062,0,1
401096,3,0
5061419,0,2
5314529,1,0
4720622,0,2
911625,1,0
3435728,1,1
757039,1,0
5410225,0,2
5876796,0,3
5255543,0,2
4679611,1,0
6002853,0,1
3952018,2,0
6002729,0,2
2190986,0,2
2943870,0,1
4998471,1,0
5969116,0,1
69349,1,1
5898512,0,1
4709842,0,1
976827,0,1
663031,1,0
4274083,0,2
4460252,2,0
135982,0,3
1388577,1,0
3374335,0,1
5346108,0,1
5779099,1,0
6002224,0,1
459516,1,0
5694324,0,1
1699214,1,0
2165382,1,0
5563910,0,2
5946386,2,0
5474689,1,0
1245564,0,2
791010,1,0
6002601,0,1
5123432,7,0
987843,0,2
212878,1,0
3340899,0,3
6002507,1,0
5669114,3,0
5313366,2,0
4829582,0,1
5654842,1,0
5642332,0,1
4575328,0,1
200576,2,0
4032857,2,3
1786055,0,6
3489878,6,0
351705,1,0
4782919,1,0
2060966,1,0
3708462,5,0
1549541,1,0
92063,1,0
4055808,0,1
3709988,0,2
1894471,1,0
5422870,0,3
4540183,4,1
1379089,1,0
5995303,0,2
4875059,0,2
5939408,2,0
6002142,0,1
6001629,0,5
218548,2,0
